// ROUTE SHEET exported by JRC ECDIS.
// <<NOTE>>This strings // indicate comment column/cells. You can edit freely.
// V15B-Charleston to Beaumont,<Normal>,CHAR-KW-BEAU
// WPT No.,LAT,,,LON,,,PORT[NM],STBD[NM],Arr. Rad[NM],Speed[kn],Sail(RL/GC),ROT[deg/min],Turn Rad[NM],Time Zone,,Name
000,32,47.749,N,079,55.561,W,***,***,***,***,***,***,***,00:00,E,WP001
057,30,00.718,N,093,58.235,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
058,30,00.566,N,093,58.515,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
059,30,00.525,N,093,58.917,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
060,30,01.197,N,094,01.359,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
061,30,01.325,N,094,01.610,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
062,30,01.477,N,094,01.759,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
063,30,01.675,N,094,01.893,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
064,30,01.937,N,094,01.955,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
065,30,02.143,N,094,01.923,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
066,30,02.822,N,094,01.697,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
067,30,03.015,N,094,01.681,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
068,30,03.231,N,094,01.726,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
069,30,03.510,N,094,01.903,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
070,30,03.705,N,094,02.177,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
071,30,03.785,N,094,02.430,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
072,30,03.874,N,094,02.657,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
073,30,04.433,N,094,03.409,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
074,30,04.578,N,094,03.670,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
075,30,04.675,N,094,03.994,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
076,30,04.675,N,094,04.305,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
077,30,04.586,N,094,04.660,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
078,30,04.631,N,094,05.079,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
